English	Verb	Conjugation group	Ja	Ty	On/ona/ono	My	Wy	Oni/one	Case
Depend on	zależeć	C3	zależę	zależysz	zależy	zależymy	zależycie	zależą	genitive
Explain	wyjaśniać	C1	wyjaśniam	wyjaśniasz	wyjaśnia	wyjaśniamy	wyjaśniacie	wyjaśniają	accusative
Propose	proponować	C4	proponuję	proponujesz	proponuje	proponujemy	proponujecie	proponują	dative
Organize	organizować	C4	organizuję	organizujesz	organizuje	organizujemy	organizujecie	organizują	accusative
Change	zmieniać	C1	zmieniam	zmieniasz	zmienia	zmieniamy	zmieniacie	zmieniają	accusative
Respect	szanować	C4	szanuję	szanujesz	szanuje	szanujemy	szanujecie	szanują	accusative
Influence	wpływać	C1	wpływam	wpływasz	wpływa	wpływamy	wpływacie	wpływają	accusative
Drive into	wjechać	C4	wjadę	wjedziesz	wjedzie	wjedziemy	wjedziecie	wjadą	instrumental
Drive out of	wyjechać	C4	wyjadę	wyjedziesz	wyjedzie	wyjedziemy	wyjedziecie	wyjadą	genitive
Reach destination	dojechać	C4	dojadę	dojedziesz	dojedzie	dojedziemy	dojedziecie	dojadą	genitive
It is allowed	można	impersonal	-	-	można	-	-	-	infinitive
It is necessary	trzeba	impersonal	-	-	trzeba	-	-	-	infinitive
It is worth	warto	impersonal	-	-	warto	-	-	-	infinitive
